7?,40D,F,MCB,,Chem 1A,Math 10A,Anthro 3AC,L&S 1,
7?,43B,M,Political Science ,Public Policy ,History 124A,L&S C140V,L&S 23,PolSci 179,
7?,43I,M,Computer Science,,CompSci 61A,Math 1A,Physics C10,,
7?,45B,M,Physics ,,Physics 7B,Math 53,CompSci 9H,Philosophy 155,
7?,50D,M,Computer Science,,CompSci 61A,Math 54,History 100AC,L&S C70V,
7?,53D,F,MEB,,Chem 3A,Biology 1B,Geography 40,PlantBio 20,
7?,53H,F,Undeclared,,Chem 1A,ColWrit R4B,Chinese 1Y,,
7?,53I,M,Architecture,,HistArt R1B,BuddStd C50,EnvDes 1,,
7?,54E,M,Math,Computer Science,Math 116,Math 110,Math 113,CompSci 61A,Math 24
7?,H,,Art Practice,,,,,,
7A,20,F,Statistics,Computer Science,Math 54,CompSci 61A,IntegBio 35AC,Geography 10,
7A,30,M,EECS,,CompSci 61A,ElecEng 16A,R5A,Eng 92,
7A,50,M,Business,,Math 16A,NutriSci 10,HistArt R1B,,
7A,2C,F,Cognitive Science,,CogSci 1,CompSci 10,Psych 167,Educ 198,
7A,30C,M,Undeclared Engineering,,CompSci 70,Rhetoric R1B,Physics 7B,CompSci 61A,Eng 92
7A,40A,F,English,,English 165,Slavic 134E,English 141,,
7A,40B,F,MCB,Computer Science,Math 1A,ESPM ,Psych 1,Music,
7A,40B,F,Undeclared,,Math 1A,Chem P,Psych 1,CompLit R1A,Music 44
7A,40C,F,Civil Engineering,,Math 53,Chem 1A,CivEng 70,R1B,CivEng 92
7A,40D,F,Undeclared,,Math 1A,Anthro 3AC,BuddStd 350,L&S 1,
7A,50B,M,Chemical Biology,,Chem 112A,Math 54,Physics 8B,Stats 20,
7A,50D,M,EECS,,ElecEng 16A,CompSci 61A,CompLit R1B,Anthro 3AC,
7A,55A,M ,Computer Science,Economics,CompSci 61A,Math 1A,PolSci 5,CS9H,
7B,53,M,Computer Science,Cognitive Science,CompSci 61A,Math 54,r5A,,
7B,55,M,Political Science,,PolSci 5,GWS 10,English R1A,CivEng 24,
7B,33B,F,Computer Science,"Economics, Business",Math 1A,CompSci 10,English R1A,,
7B,33C,M,EECS,,CompSci 61A,ElecEng 16A,Math 53,Music 20A,
7B,33C,M,Economics,,Econ 1,Stats 20,Philosophy 18,Classics 44,
7B,33D,M,Business,,Psych 2,Chinese 1A,Music 27,,
7b,33G,F,Nuclear Engineering,,CompSci 61A,Physics 7B,Math 54,NuclEng 24,AsAmStd R2A
7B,33I,M,Undeclared,,Slavic R5A,EPS C20,NatAmStd 90,,
7B,35A,F,Chemical Biology,,Chem 4A,Math 1A,Japan 159,,
7B,35B,F,MCB,"Math, Linguistics",Japan 10A,Chem 1A,Math 53,Music 27,MCB 90E
7B,35B,F,Biochemistry,Nutritional Science,Math 32,Chem P,ColWrit R1A,EPS C20,
7B,35C,F,Undeclared,,CompLit R1B,Math 1A,L&S 40C,L&S 1,MCB 198
7b,35D,F,Political Science,Legal Studies,PolSci 5,History 5,GWS 50AC,MCB 55,
7B,43A,F,Architecture,,EnvDes 1,EnvDes 4A,Classics 36,NutriSci 10,
7B,43B,M,Chemistry,Japanese,Chem 4A,Math H1B,Rhetoric R1B,Chem 96,
7B,43C,M,Civil Engineering ,,Math 54,Physics 7A,CivEng 60,Sociology 166,
7B,43D,F,Computer Science,,CompSci 61A,Math 54,Astronomy C10,GWS 10,Eng 98
7B,43E,F,Nutritional Sciences,,Chem 1A,NutriSci 10,Italian R5A,IntegBio 24,PubHealth 198
7B,43F,M,Computer Science,Statistics,CompSci 61A,Math 1B,Classics 44,IndustEng 24,
7B,43F,M,Chemical Biology,,Chem 4A,Math 54,Rhetoric R1B,Chem 96,
7B,43G,M,Computer Science,,CompSci 61A,Classics R44,Math 1A,Physics 98BC,
7B,43G,M,Integrative Biology,,Chem 1A,Math 10A,History 4A,IntegBio 24,
7B,43H,M,Political Science,Economics,Econ 1,PolSci 3,,,
7B,43I,M,Political Science,,PolSci 5,Russian 1,Geography 4,,
7B,45A,M,Mechanical Engineering,,MechEng C85,MechEng 40,Eng 27,CivEng 60,NST 10
7B,45B,M,Chemistry,Math,Chem 4A,Math 53,History 7A,Chem 96,Philosophy 98BC
7B,45C,M,Business,Political Science,ColWrit R1A,Math 1A,MCB 62,,
7B,45D,M,Physics,,Math 1A,L&S C140V,UGIS 82,Educ W140A,
7B,53B,M,Computer Science,Computer Engineering,ESPM,Anthro 3AC,HistArt R1B,MEStd,
7B,53B,M,Math,Physics,Math H1B,Physics H7A,CompSci 10,,
7B,53B,M,Physics,,FPF-ESPM 50AC,FPF-MCB 32,FPF-MEStd 10,FPF-Rhetoric 2,
7B,53C,M,Chemical Engineering,,Chem 4A,ChemEng 40,Eng 7,Math 53,Eng 98
7B,53C,M,EECS,,ElecEng 16A,CompSci 61A,CelticStd R1B,,
7B,53D,F,EECS,,CompSci 61A,ElecEng 16A,CogSci C100,,
7B,53E,M,EECS,,ElecEng 16A,CompSci 61A,Math 53,History 124A,
7B,53F,M,EECS,,Physics 7A,ElecEng 16A,CompSci 61A,Math 54,
7B,53G,F,Computer Science,Economics,CompSci 61A,Econ 1,Math 1B,Physics C10,
7B,53G,F,Materials Science,,Physics 7A,Chem 1A,Math 1B,Japan 1A,
7B,53I,M,Cognitive Science,,Math 1A,Psych C64,CompSci 10,Japan 1A,
7B,55A,M,Computer Science,,CompSci 61A,Math 54,French R1A,CompSci 9H,PolEcon 24
7B,55B,M,Computer Science,,CompSci 70,Physics H7A,Math 53,CompSci 61A,
7B,55B,M,Computer Science,,,,,,
7B,55B,M,EECS,,,,,,
7B,55C,M,Business ,,,,,,
8?,14,M,Psychology,Business,Math 1A,Psych 1,Linguistics 5,HistArt R1B,
8?,14,M,English,,English 45B,EthnicStd 41AC,English 117S,Educ 198,
8?,15,F,Environmental Science,,Math 16A,ESPM 15,GWS 133AC,ESPM 98BC,PhysEd 3
8?,14A,M,Economics,,Econ 140,Math 54,Stats 134,MCB C62,
8?,14B,M,Chemical Engineering,,Chem 4A,Math 53,ChemEng 40,ESPM 160AC,
8?,15A,F ,MCB ,,Chem 3B,Biology 1A,Scand R5B,Music 27,
